Knmp;Voorraad;Department;Location;Artikelnaam;Hpkode;Artikelcode;Hpkode;Status;;;;Knmp,Voorraad,Department,Location,Artikelnaam,Hpkode,Artikelcode,Hpkode,Status,,
90004598;5; APOTHEEK ; BALIREK 4 ; AMD-RITMED TAPE CLOTH SURGICAL 3X 10YD ;Bali;9005528;1596217; A ;;;;90004598,5, APOTHEEK , BALIREK 4 , AMD-RITMED TAPE CLOTH SURGICAL 3X 10YD ,Bali,9005528,1596217, A ,,
90002226;145; APOTHEEK ; BALIREK 4 ; DUKAL UNDERPADS 23X36 150PK (60CM X 90CM) ;niet gevonden;9002539;1596217; A ;;;;90002226,145, APOTHEEK , BALIREK 4 , DUKAL UNDERPADS 23X36 150PK (60CM X 90CM) ,niet gevonden,9002539,1596217, A ,,
90004746;9; APOTHEEK ; BALIREK 2 ; MUSCLE RUB CREAM DR. SHEFFIELD S 35G.;Bali;9006741;762857; A ;;;;90004746,9, APOTHEEK , BALIREK 2 , MUSCLE RUB CREAM DR. SHEFFIELD S 35G.,Bali,9006741,762857, A ,,
90004596;10; APOTHEEK ; BALIREK 4 ; PLEISTER PAPER 2X 10YD POROUS DUKAL ;Bali;9005526;1596217; A ;;;;90004596,10, APOTHEEK , BALIREK 4 , PLEISTER PAPER 2X 10YD POROUS DUKAL ,Bali,9005526,1596217, A ,,
90001846;5; APOTHEEK ; BALIREK 1 ; 21 CENTURY SENTRY SENIOR ;Bali;9004813;1682814; A ;;;;90001846,5, APOTHEEK , BALIREK 1 , 21 CENTURY SENTRY SENIOR ,Bali,9004813,1682814, A ,,
90004651;3; APOTHEEK ; BALIREK 1 ; 21ST CENT. CALC/MAG/ZINC+D ;Bali;9006156;1035118; A ;;;;90004651,3, APOTHEEK , BALIREK 1 , 21ST CENT. CALC/MAG/ZINC+D ,Bali,9006156,1035118, A ,,
90004738;3; APOTHEEK ; BALIREK 1 ; 21ST CENT. HEALHTY EYES STR. ;Bali;9006730;1533797; A ;;;;90004738,3, APOTHEEK , BALIREK 1 , 21ST CENT. HEALHTY EYES STR. ,Bali,9006730,1533797, A ,,
90003388;4; APOTHEEK ; BALIREK 1 ; 21ST CENTURY B-12 2500MCG ;Bali;9003901;1035118; A ;;;;90003388,4, APOTHEEK , BALIREK 1 , 21ST CENTURY B-12 2500MCG ,Bali,9003901,1035118, A ,,
90001849;3; APOTHEEK ; BALIREK 1 ; 21ST CENTURY CALC 600+D3  (75ST) ;Bali;9004997;1035118; A ;;;;90001849,3, APOTHEEK , BALIREK 1 , 21ST CENTURY CALC 600+D3  (75ST) ,Bali,9004997,1035118, A ,,
90001832;1; APOTHEEK ; BALIREK 1 ; 21ST CENTURY FOLIC ACID 800MCG ;Bali;9002147;1035118; A ;;;;90001832,1, APOTHEEK , BALIREK 1 , 21ST CENTURY FOLIC ACID 800MCG ,Bali,9002147,1035118, A ,,
